"","V","p.value","-log10(p)","FDR"
"P62805",484,0.13618,0.8659,0.48333
"P11908",484,0.13618,0.8659,0.48333
"O14745",483,0.14045,0.85248,0.49157
"P63104",481,0.1493,0.82594,0.50165
"Q5H9A7",298,0.1493,0.82594,0.50165
"A0A0C4DH68",481,0.1493,0.82594,0.50165
"S4R371",480,0.15388,0.81281,0.50361
"O00764",480,0.15388,0.81281,0.50361
"P22079",479,0.15856,0.79979,0.51229
"Q02818",476,0.17325,0.76133,0.54813
"Q68D85",475,0.17836,0.7487,0.54813
"P30101",475,0.17836,0.7487,0.54813
