"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"P02751",1.0658,0.93404,0.86868,0.86807,0.84849
"Q9UL25",1.0599,0.84932,0.86069,0.87828,0.86053
"P01861",1.0519,0.86064,0.88321,0.92651,0.94946
"P26641",1.0507,1.5345,1.4529,1.3995,1.3697
"Q9NR31",1.0419,0.82027,0.78469,0.82278,0.81659
"A0A0C4DH34",1.0374,0.84147,0.85074,0.99032,1.0159
"P01034",1.0346,1.136,1.0543,1.0191,0.99634
"P11908",1.0281,1.4013,1.3034,1.2874,1.2748
"P34096",1.0188,1.1301,1.1258,1.189,1.1625
"P62269",1.0122,1.5664,1.5063,1.4497,1.5292
"P69905",1.0084,0.86199,0.85399,0.82299,0.8067
"P0C0L4",0.97168,0.75992,1.2275,1.2218,1.2133
"P55072",0.96948,1.1956,1.1684,1.1198,1.1192
"P14618",0.96653,1.6105,1.495,1.4367,1.4238
"P19113",0.96599,1.0081,0.99592,1.0968,1.0729
"E9PJK1",0.96303,0.76502,0.7943,0.93766,0.92504
"Q9Y646",0.95688,0.82052,0.77773,0.75064,0.73733
"S4R3V8",0.95557,0.73818,0.88366,0.85219,0.83587
"P36955",0.94685,0.73756,0.79744,0.94194,0.92097
"E9PDQ1",0.9395,0.73711,0.71309,0.68351,0.67611
"P15311",0.93007,0.75616,0.72758,0.7021,0.90698
"P14324",0.92627,1.5621,1.765,1.6998,1.6691
"P43251",0.91866,1.015,1.0346,1.0273,1.0303
"P62820",0.91602,0.7691,0.71897,0.7245,0.7439
"P61019",0.91578,0.82223,0.78343,0.82739,0.81545
"P02748",0.91386,0.71333,0.73829,0.71871,0.72113
"P20061",0.91193,0.72495,0.93702,0.94351,0.94792
"O94760",0.8979,1.0601,1.0303,1.0293,1.0095
"Q9BXJ1",0.89491,0.6975,0.66577,0.68697,0.68257
"P60981",0.87483,1.277,1.2609,1.2121,1.1945
"P26038",0.86601,0.93724,0.92159,0.90866,0.89695
