"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"Q9UL25",-0.086459,0.043395,-0.12495,0.057338,-0.04319,0.15393,-0.15494,0.038811
"P14618",-0.18464,0.13876,0.031764,0.01184,-0.12047,0.025354,0.085652,-0.038539
"A0A087WWU8",-0.1633,0.063281,-0.031549,-0.0074373,0.012774,-0.07728,-0.14367,0.19261
"A0A075B7B8",0.040738,0.023362,0.047311,-0.036284,-0.14443,0.014645,0.070502,-0.058893
"Q9NV23",-0.20918,0.11863,-0.084426,-0.019627,-0.053023,-0.018684,0.057027,-0.089756
"X6R3G6",-0.065341,-0.0018386,-0.093114,0.12643,-0.12199,-0.073377,0.16792,-0.09972
"P30044",-0.16142,0.061999,-0.093137,0.019532,0.0096479,-0.035376,0.066415,-0.090636
"P62269",-0.18148,0.11069,0.096812,0.058183,-0.13496,-0.028021,0.0070949,-0.038897
"Q16555",-0.13524,0.14892,-0.054395,0.014251,0.0028251,-0.01636,0.062747,0.0081145
"Q06323",-0.20275,0.10256,0.04768,0.032515,-0.10188,0.015341,0.043437,0.0017124
"Q15181",-0.15461,0.11614,0.0057651,0.025007,-0.053094,-0.0020503,0.056324,-0.074228
"O75891",-0.1991,0.10994,0.021322,0.010699,-0.070186,-0.060581,0.13226,-0.02873
"P42330",-0.20986,0.066156,-0.0043776,0.00085594,0.010704,-0.046041,0.10383,-0.01879
"C9J9K3",-0.17456,0.11586,0.0042418,-0.016914,0.017647,-0.11516,0.056704,-0.035737
"O75954",-0.051886,-0.08658,0.091827,0.06482,-0.0051809,-0.012957,-0.025194,0.038342
"Q86SQ4",-0.0087649,-0.029808,-0.087736,0.19132,-0.21117,0.060013,0.060572,-0.03199
"P14324",-0.062076,0.076896,0.1326,0.012954,0.13707,-0.018659,-0.038083,-0.11448
"Q9BWD1",-0.1878,0.12661,0.007861,0.02394,0.0048919,-0.037628,0.0457,-0.037479
"P26641",-0.17913,0.11168,0.017325,0.020638,0.033154,-0.098066,0.17053,-0.023175
"Q6UXA7",-0.03829,-0.089293,-0.13523,0.11517,-0.13229,-0.074816,0.16322,-0.01531
"P55072",-0.14191,0.11455,-0.057575,-0.040228,0.035081,-0.039675,0.12027,-0.012183
"P07195",-0.12954,0.056104,-0.039793,0.10503,-0.15636,0.19988,-0.15534,-0.07883
"P36578",-0.21265,0.074263,0.033627,0.083381,-0.1488,-0.0531,0.00086702,0.022307
"P07741",-0.15902,0.1498,-0.005765,-0.014393,-0.01793,-0.035657,0.038348,0.080532
"Q9Y646",-0.029337,-0.02579,-0.046667,0.0086346,-0.11517,0.11211,0.10754,-0.1322
"Q9BXJ1",0.064596,-0.018822,0.082489,-0.037308,-0.13722,0.13421,0.010004,-0.014954
"P69905",0.03145,0.054724,-0.069925,0.028672,0.016799,-0.15133,0.14553,0.076631
"P68871",0.027396,0.081568,-0.071394,0.045396,0.072006,-0.15485,0.04248,0.059674
"P36222",-0.0059006,0.032732,-0.026509,0.037645,-0.17294,0.17019,-0.019897,0.06731
"Q14195",-0.13028,0.094312,-0.062114,0.040295,-0.0090516,0.027053,0.084055,-0.10261
"P62805",-0.081539,0.015578,-0.16224,0.08909,-0.032957,0.11472,-0.17101,0.17394
"H3BVI7",-0.0033689,-0.00089355,-0.095996,0.17997,-0.055105,0.064297,-0.029118,-0.19248
"A0A0C4DH68",-0.062858,0.011308,-0.10889,0.031835,-0.095327,-0.023649,0.15645,0.019607
"P0DJI8",-0.059089,0.019645,-0.037091,0.055906,-0.025594,-0.049555,0.040228,0.040047
"A0A0C4DH36",-0.062888,0.014864,-0.13001,0.073133,-0.063429,0.0048888,-0.051599,-0.0039327
"P01861",0.041581,0.050983,-0.14676,0.12675,-0.022834,-0.074375,0.063695,-0.094037
"P11908",-0.1649,0.11994,-0.084057,0.037544,-0.00037543,-0.0024143,0.08724,0.0036038
"A0A0C4DH34",0.042997,0.045938,-0.18087,0.076533,-0.01277,0.035788,0.058726,-0.050701
"P30043",-0.16556,0.070564,-0.032414,0.073371,0.032544,-0.048947,-0.036131,0.0087364
"P01877",0.020291,0.021755,-0.20665,0.088785,-0.0089975,-0.11606,0.13983,-0.092697
"P01780",-0.031023,0.045547,-0.23768,0.090256,-0.076436,0.10079,0.00032069,-0.054885
"P01619",-0.0047441,0.048405,-0.25221,0.089226,-0.044818,0.074567,-0.040762,-0.091127
