"","coef.mean","1","2","3"
"P28799",14.659,9.4734,21.958,12.545
"Q9UBR2",14.625,17.464,10.818,15.594
"P07237",14.498,16.858,1.9985,24.636
"P13497",14.433,9.5723,16.49,17.236
"P51884",14.34,9.8401,17.517,15.663
"Q08380",14.298,10.294,21.037,11.563
"O60603",14.283,12.834,19.19,10.825
"P00558",14.261,16.206,11.795,14.78
"A0A087WSY5",14.225,18.228,22.834,1.6135
"Q16851",14.222,13.787,12.706,16.172
"Q9NZT1",14.137,15.566,7.7246,19.12
"P61088",14.058,14.762,13.755,13.657
"P0DJI8",13.772,12.865,16.202,12.249
"P01008",13.632,14.094,19.385,7.415
"P62263",13.572,11.445,10.281,18.992
"Q5T985",13.542,9.4165,17.615,13.593
"Q15365",13.532,12.628,14.067,13.899
"Q9NZH0",13.529,13.875,14.159,12.551
"A0A075B6K4",13.507,9.3619,16.522,14.638
"P39023",13.469,11.502,16.092,12.813
"Q6UWP8",13.188,8.1951,22.886,8.4828
"P20061",13.071,15.882,9.2512,14.08
"Q9H3G5",12.941,15.871,10.029,12.922
"P40429",12.941,16.495,3.4613,18.865
"P58499",12.877,11.967,22.713,3.9509
"Q5H9A7",12.799,9.6802,12.796,15.919
"P11279",12.771,7.8298,14.499,15.983
"P00918",12.717,10.575,18.222,9.354
"Q99538",12.633,12.413,11.069,14.416
"Q00610",12.593,12.933,15.635,9.2109
"S4R371",12.582,9.0002,21.394,7.3522
"P23396",12.317,7.845,14.675,14.43
"P52209",12.305,10.442,10.585,15.888
"Q02818",12.169,6.5101,13.385,16.611
"P00738",12.061,10.514,13.452,12.218
"P02675",12.021,12.58,8.3641,15.119
"P22307",11.925,15.41,10.003,10.362
"P63104",11.733,11.568,11.327,12.302
"X1WI28",11.732,6.4329,14.02,14.742
"P23528",11.681,11.482,9.1983,14.361
"P30050",11.655,10.285,17.771,6.9099
"P46940",11.453,6.0915,14.039,14.228
"P24534",11.206,13.46,5.6356,14.521
"O00592",11.108,15.723,4.5536,13.048
"Q9BRK5",10.987,10.851,17.064,5.0451
"P19875",10.964,11.798,7.1387,13.955
"P14550",10.939,9.2059,13.554,10.058
"P05109",10.797,13.668,2.5256,16.198
"E9PBS1",10.686,13.185,8.6229,10.25
"P69905",10.425,8.9163,10.22,12.137
"Q01518",10.393,9.9444,8.6188,12.615
"P15814",10.384,11.933,8.1005,11.117
"P32119",10.289,8.4254,13.453,8.9898
"P98082",10.147,14.007,12.616,3.8195
"P49189",9.9445,9.2178,8.0376,12.578
"P25788",9.8281,9.3586,17.935,2.1911
