ter,1,2,3,fc
A0A0C4DH36,0.001293348,0.000851719,0.000700211,1.84708208
P01861,0.00505717,0.004220692,0.001469725,3.440895835
P11908,0.001568301,0.002890639,0.000522543,3.001286573
C9JFR9,0.000814791,0.001271778,0.000339759,2.398144924
P50897,0.000486792,0.000657306,0.000476977,1.020577504
P60866,0.001863122,0.002154041,0.000287116,6.48910172
P18085,0.000510519,0.000761926,0.00013032,3.917443788
P62424,0.001645524,0.002071341,0.0002098,7.843291077
O75629,0.000313357,0.000374567,0.000807044,0.388276971
P62263,0.002448559,0.004070048,0.000745551,3.284225656
P15814,0.000849162,0.000606047,0.000493365,1.721165695
P61353,0.001172111,0.0014664,0.000183041,6.403540104
P06702,0.001302862,0.004712172,0.002263541,0.575585716
P53396,0.00106835,0.001706745,0.000219564,4.86577923
A0A0C4DH34,0.015155596,0.005349575,0.001695413,8.939176289
P24534,0.000381202,0.000805519,7.95E-05,4.79376975
Q02790,0.0007862,0.001041572,0.000136644,5.753649043
P07357,0.000239983,0.000170507,6.53E-05,3.67281505
P30043,0.001407595,0.001083685,0.000404088,3.483389454
Q9UBR2,0.000484756,0.00029032,0.000267934,1.809240784
P62266,0.001037317,0.001224113,0.000173788,5.96886707
P28070,0.000962513,0.001291331,2.26E-05,42.61346859
P22307,0.000607706,0.000817284,0.000244514,2.485365144
M0R0F0,0.001486435,0.002275447,0.000224984,6.606835793
A0A075B6K5,0.000489577,0.000504598,0.000223524,2.190261628
P30050,0.001613723,0.00232217,0.000202348,7.974979039
P62753,0.000923058,0.001466416,0.000225631,4.090999947
A0A0B4J1V2,0.000360129,6.77E-05,0.000221707,1.624346532
Q6ZVX7,0.000269826,0.000517386,6.29E-05,4.291675439
P16152,0.000176384,0.000147337,1.15E-05,15.36359094
P14923,0.000473149,0.000107492,0.000252142,1.876516753
P48637,0.00039406,0.000429572,0.000100958,3.903210066
P05109,0.000569094,0.001850184,0.000915106,0.621888319
Q16706,2.27E-05,2.81E-05,4.59E-05,0.494405778
Q08554,0.000174738,2.65E-05,7.73E-05,2.259687436
P25788,0.000587788,0.000914838,7.59E-05,7.749107165
P10316,0.00015161,0.000220005,0.000100283,1.511825634
Q6UX73,8.39E-05,0.000157759,7.93E-05,1.058372376
Q7KZF4,0.000142743,0.000234197,8.52E-06,16.74592639
P17858,0.000277607,0.000380556,4.06E-05,6.83961521
Q13200,4.56E-05,0.000166034,5.70E-05,0.79861343
P50991,0.000238866,0.000338389,2.51E-05,9.524508765
P01031,1.34E-05,8.78E-06,1.28E-05,1.044314479
P35579,7.50E-05,0.000135372,1.53E-05,4.906456099
P01877,0.155969232,0.155805809,0.06949722,2.244251379
P59666,0.002892435,0.004908411,0.0037686,0.767509165
Q99878,0.003624827,0.003481309,0.001469984,2.465894671
J3QR09,0.00287221,0.003971908,0.000330844,8.681469646
Q6UXB2,0.001808087,0.000821435,0.000639697,2.826472195
M0R3D6,0.001515747,0.001338936,0.00027205,5.571568901
P25398,0.001359413,0.002861055,7.16E-05,18.97877192
H7C2W9,0.001186358,0.001747823,0.000214449,5.532128024
P46781,0.000935508,0.00121187,0.00012529,7.466772961
P49773,0.000882438,0.000641009,0.00018375,4.802394593
D3YTB1,0.000517989,0.001866212,0.000150884,3.433019662
P62906,0.0008871,0.000887796,0.000116405,7.620821353
M0QZC5,0.000732471,0.00109289,0.000108391,6.757646025
P29762,0.000794723,0.001142801,0.000245332,3.23938276
P09237,0.000352583,3.87E-05,4.03E-05,8.743676439
A0A0C4DH31,0.006966566,0.006531839,0.003026317,2.301994684
A0A075B6K4,0.006369569,0.003281138,0.003079112,2.068638496
P01701,0.003744577,0.005089496,0.001483319,2.52445905
P80188,0.000378084,0.000221611,0.000331163,1.141685969
P62851,0.000781153,0.001181822,4.11E-05,19.00493117
Q9H3G5,0.000217415,0.000158063,0.000525975,0.413356904
Q9NZT1,0.000438047,0.000405423,9.62E-05,4.554776562
Q9Y2V2,0.000248953,0.000564712,5.49E-05,4.53461303
Q66K79,0.00025326,0.000326759,1.01E-05,25.11614797
P37837,0.000191153,0.000396723,0.000136778,1.397538391
