sample,group,DSLNT,LNnH,LNDFH11,LSTA,LSTB,LSTC,LNFP ¢ó,LNFP¢ñ,3SL,6SL,3FL,2FL
1696,0,5684.35,60.82,960.31,91.52,151.43,210.2,307.44,358.9,221.13,1329.15,277.68,763.57
1507,0,1871.62,4.32,116.65,67.75,560.23,115.05,169.09,220.74,270.39,431.12,341.51,999.01
1558,0,2671.91,4.19,279.9,72.65,97.8,105.55,83.76,135.57,182.22,142.91,523.69,792.82
1538,0,3218.09,3.77,297.55,68.78,92.93,116.2,334.85,140.34,313.73,592.44,359.5,432.91
1701,0,872.04,4.57,195.89,76.55,60.44,106.76,82.89,98.06,170.14,254.45,353.95,697.77
1508,0,1399.24,3.47,194.84,67.34,53.93,117.34,106.02,180.32,328.76,174.55,400.64,1248.24
1657,0,187.73,2.51,110.66,71.12,64.62,105.77,71.95,51.45,55.03,30.08,212.22,426.62
1542,0,80.18,4.69,103.67,68.52,57.76,103.84,55.64,49.12,37.53,13.16,158.84,232.89
1335,0,253.0999578,2.804218362,124.4318182,67.38217768,53.21670968,103.6529823,103.8062706,59.89083154,52.20622417,56.1582423,198.6496432,310.5302352
1336,0,2616.026993,37.32034739,484.5716783,95.49798793,78.22746391,158.0486786,283.4817616,165.5851034,464.5822572,1000.436499,334.4355621,778.0523695
1345,0,5059.088992,7.196277916,579.8076923,90.09441263,114.8073798,151.2315888,305.0079297,181.4823184,210.2627841,558.5595518,370.058763,613.2338272
1210,0,3034.62674,5.310421836,398.1206294,87.50290203,103.4449383,127.019743,216.2925461,107.0514631,148.7422521,687.2982034,310.7471524,392.2002176
1277,0,11407.67609,84.76451613,2841.520979,241.3480885,616.2807093,262.2835057,563.7672319,279.1725511,359.6500517,2536.862829,372.340641,450.8572767
1326,0,9796.541544,22.92828784,1697.683566,120.150712,240.9580824,281.5689961,304.2210565,207.6693311,260.1297779,3462.347985,290.7963054,652.2446237
1331,0,4025.769717,5.732258065,127.229021,107.088686,153.2071504,159.0494098,246.2608271,238.8494238,131.7762138,784.0700199,269.890306,592.4078903
1304,0,6055.504007,12.10942928,1096.590909,204.7515864,299.9940254,190.6518333,165.7374649,249.4075528,338.0655992,1182.353272,500.637481,303.7896316
1325,0,1202.066639,2.729776675,212.3688811,73.85369912,64.23621069,107.1576308,64.26131512,79.50302226,69.765625,246.798254,188.6847975,380.9294916
1260,0,19757.52847,33.69751861,2136.625874,315.5703451,279.8429882,410.2047425,850.8905697,865.7694046,213.4471849,4101.905748,244.2573825,715.4621009
1307,0,334.2893294,3.796774194,118.3129371,67.50889955,51.68482937,102.2657474,54.00146395,61.54883629,44.14320764,43.69044539,179.2683092,252.1540117
1235,0,5717.039224,28.26327543,129.2395105,149.5946835,219.916834,141.3893241,553.3426863,276.7822845,323.1450155,1118.827976,357.1247077,716.521005
1306,0,3710.501898,5.235980149,123.0332168,108.2601377,87.99110984,119.915387,108.2103208,300.4561631,171.3675103,279.2932759,286.635631,736.5525921
1243,0,8304.55504,20.02506203,1042.351399,170.6575994,302.5093203,304.4813538,93.43662315,198.8927805,256.8104339,2318.791977,231.4179647,659.4877499
1211,0,2366.132434,9.801736973,115.3409091,84.38612444,113.4200841,117.6757547,228.0834452,306.2302282,153.5808368,475.0177187,259.9600069,635.9262765
1310,0,2696.161957,9.131761787,449.4755245,85.81198731,114.273253,118.7830356,86.83054776,137.4759914,187.9842459,728.6604642,603.2444573,669.7996642
1312,0,4311.514129,5.11191067,453.1905594,92.87745705,119.2632158,131.7006163,94.84567525,95.80344029,126.7846074,1187.356703,526.3953125,551.4637387
1251,0,18714.71953,22.77940447,3876.136364,330.4093794,693.7075805,420.9798391,161.9616933,114.9213366,281.4449897,10081.90327,821.0882976,916.3154619
1247,0,16721.8895,21.06724566,4038.767483,321.4575917,527.8235828,400.4084404,156.0692936,132.2512993,431.1324897,7027.291903,830.07571,738.6506153
1353,0,2598.102067,8.908436725,383.479021,89.85451169,92.82214893,121.0675859,121.1906795,220.9241894,224.5848399,660.4225495,550.8842587,893.7679644
1280,0,2079.333615,3.424565757,261.3636364,67.53211577,91.88055635,112.31171,81.92021471,135.8073946,140.0232438,295.3413808,836.5538218,819.7951302
1259,0,2602.319696,3.151612903,285.9265734,67.5669401,108.8590957,111.4311083,79.59009394,119.713168,182.7524535,332.8235215,631.5626779,640.0318482
1264,0,369.0847744,2.829032258,148.951049,67.81651447,55.75351305,105.2198893,79.27290472,62.78457236,70.10459711,77.8364027,297.4711192,293.4165077
1270,0,748.6714466,3.374937965,201.9230769,69.91468039,61.38036517,112.1571085,80.55386117,73.41684555,70.86324897,178.3100271,334.2872479,354.3460818
1215,0,3887.642345,4.665260546,292.0891608,68.02062374,108.6762738,114.4353912,96.04733439,140.7397469,189.0334452,440.1230748,930.9614316,924.8162341
1272,0,2117.292282,4.9382134,171.0227273,67.86778362,76.65017685,103.6258226,68.79346102,71.02446051,154.0011622,47.05475368,359.6837464,434.3538583
1291,0,12351.37073,25.70744417,685.4458042,194.4619641,71.81077335,125.3264389,767.9394901,226.790052,610.7528409,725.212906,791.8419317,550.9050215
1409,0,2581.231548,3.399751861,169.5367133,66.70213589,69.1592582,105.4935757,193.4793217,100.214665,287.3308368,164.6615442,648.8532095,353.6115676
1290,0,11241.07971,4.16898263,405.5506993,80.12014394,109.6752223,124.25363,143.589118,289.4694102,900.0142045,690.1202623,928.4243361,1684.47559
1410,0,4352.636019,3.846401985,304.8513986,98.21041634,74.18984801,111.2671054,144.3698914,180.7013332,250.306689,535.3648933,520.9878085,794.6304621
